,movie_id,title,attributes
0,0129280,Sperduti a Manhattan,"The remake of the 1970 Neil Simon comedy follows the adventures of married couple Henry and Nancy Clark as they are vexed by misfortune while in New York City for a job interview.ComedySteve Martin, Goldie Hawn, John Cleese, Mark McKinney, Oliver Hudson, Valerie Perri, Steve Mittleman, Randall Arney, Carlease Burke, William Duell, J.P. Bumstead, Peggy Mannix, Anne Haney, Charlie Dell, Jordan BakerSam Weisman"
1,0129290,Patch Adams,"The true story of a heroic man, Hunter ""Patch"" Adams, determined to become a medical doctor because he enjoys helping people. He ventured where no doctor had ventured before, using humour and pathos.Biography, Comedy, DramaRobin Williams, Daniel London, Monica Potter, Philip Seymour Hoffman, Bob Gunton, Josef Sommer, Irma P. Hall, Frances Lee McCain, Harve Presnell, Daniella Kuhn, Peter Coyote, James Greene, Michael Jeter, Harold Gould, Bruce BohneTom Shadyac"
2,0129387,Tutti pazzi per Mary,"A man gets a chance to meet up with his dream girl from high school, even though his date with her back then was a complete disaster.Comedy, RomanceCameron Diaz, Matt Dillon, Ben Stiller, Lee Evans, Chris Elliott, Lin Shaye, Jeffrey Tambor, Markie Post, Keith David, W. Earl Brown, Sarah Silverman, Khandi Alexander, Marnie Alexenburg, Danny Murphy, Richard TysonBobby Farrelly, Peter Farrelly"
3,0130018,Incubo finale,"The murderous fisherman with a hook is back to once again stalk the two surviving teens, Julie and Ray, who had left him for dead, as well as cause even more murder and mayhem, this time at a posh island resort.Horror, MysteryJennifer Love Hewitt, Freddie Prinze Jr., Brandy Norwood, Mekhi Phifer, Muse Watson, Bill Cobbs, Matthew Settle, Jeffrey Combs, Jennifer Esposito, John Hawkes, Ellerine Harding, Benjamin Brown, Red West, Michael P. Byrne, Michael Bryan FrenchDanny Cannon"
4,0130121,Mickey occhi blu,"An English auctioneer proposes to the daughter of a Mafia kingpin, only to realize that certain ""favors"" would be asked of him.Comedy, Crime, RomanceHugh Grant, James Caan, Jeanne Tripplehorn, Burt Young, James Fox, Joe Viterelli, Gerry Becker, Maddie Corman, Tony Darrow, Paul Lazar, Vincent Pastore, Frank Pellegrino, Scott Thompson, John Ventimiglia, Margaret DevineKelly Makin"
5,0130623,Dinosauri,"An orphaned dinosaur raised by lemurs joins an arduous trek to a sancturary after a meteorite shower destroys his family home.Animation, Adventure, FamilyAlfre Woodard, Ossie Davis, Max Casella, Hayden Panettiere, D.B. Sweeney, Samuel E. Wright, Peter Siragusa, Julianna Margulies, Joan Plowright, Della Reese, Matt Adler, Sandina Bailo-Lape, Edie Lehmann Boddicker, Zachary Bostrom, Cathy CavadiniEric Leighton, Ralph Zondag"
6,0131325,Bowfinger,"When a desperate movie producer fails to get a major star for his bargain basement film, he decides to shoot the film secretly around him.ComedySteve Martin, Eddie Murphy, Heather Graham, Christine Baranski, Jamie Kennedy, Barry Newman, Adam Alexi-Malle, Kohl Sudduth, Terence Stamp, Robert Downey Jr., Alejandro Patiño, Alfred De Contreras, Ramiro Fabian, Johnny Sanchez, Claude BrooksFrank Oz"
7,0131369,Edtv,"A video store clerk agrees to have his life filmed by a camera crew for a television show.Comedy, DramaGeoffrey Blake, Gail Boggs, Jenna Byrne, Merrin Dungey, Ian Gomez, Gavin Grazer, Chris Hogan, Arianna Huffington, Larry Flash Jenkins, Wendle Josepher, Scott LaRose, John Livingston, Mitzi McCall, Jim Meskimen, Don MostRon Howard"
8,0131646,Wing Commander - Attacco alla Terra,"Blair, a fighter pilot, joins an interstellar war to fight the evil Kilrathi who are trying to destroy the universe.Action, Adventure, Sci-FiFreddie Prinze Jr., Saffron Burrows, Matthew Lillard, Tchéky Karyo, Jürgen Prochnow, David Suchet, David Warner, Ginny Holder, Hugh Quarshie, Ken Bones, John McGlynn, Richard Dillane, Mark Powley, David Fahm, Simon MacCorkindaleChris Roberts"
9,0131704,Le avventure di Rocky e Bullwinkle,"When enemies Boris, Natasha, and Fearless Leader escape into the real world with a nefarious scheme, Rocky and Bullwinkle do the same, and team up with a young F.B.I. Agent to stop the trio.Animation, Adventure, ComedyRene Russo, Jason Alexander, Piper Perabo, Randy Quaid, Robert De Niro, June Foray, Keith Scott, Janeane Garofalo, Carl Reiner, Jonathan Winters, John Goodman, Kenan Thompson, Kel Mitchell, James Rebhorn, David Alan GrierDes McAnuff"
